year,geo,hh,house_disp,employ_hash_education,employ_total,employ_f,employ_m,not_employ_total,population,child_avg_allwk,child_avg_allnowk,child_avg
2005.0,FR,HHC_32,180.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FR,HHC_41,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FR,HHC_42,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,HU,HHC_21,125.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,HU,HHC_22,602.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,HU,HHC_31,300.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,HU,HHC_32,294.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,HU,HHC_41,73.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,HU,HHC_42,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IE,HHC_21,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IE,HHC_22,323.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IE,HHC_31,137.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IE,HHC_32,143.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IE,HHC_41,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IE,HHC_42,54.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IS,HHC_21,87.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IS,HHC_22,522.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IS,HHC_31,289.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IS,HHC_32,209.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IS,HHC_41,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IS,HHC_42,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IT,HHC_21,126.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IT,HHC_22,579.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IT,HHC_31,231.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IT,HHC_32,235.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IT,HHC_41,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,IT,HHC_42,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LT,HHC_21,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LT,HHC_22,484.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LT,HHC_31,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LT,HHC_32,201.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LT,HHC_41,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LT,HHC_42,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LU,HHC_21,76.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LU,HHC_22,370.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LU,HHC_31,152.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LU,HHC_32,158.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LU,HHC_41,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LU,HHC_42,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LV,HHC_21,106.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LV,HHC_22,573.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LV,HHC_31,215.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LV,HHC_32,264.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LV,HHC_41,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,LV,HHC_42,61.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,MT,HHC_21,39.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,MT,HHC_22,186.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,MT,HHC_31,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,MT,HHC_32,103.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,MT,HHC_41,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,MT,HHC_42,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NL,HHC_21,123.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NL,HHC_22,709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NL,HHC_31,340.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NL,HHC_32,336.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NL,HHC_41,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NL,HHC_42,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NO,HHC_21,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NO,HHC_22,233.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NO,HHC_31,156.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NO,HHC_32,129.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NO,HHC_41,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,NO,HHC_42,46.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PL,HHC_21,121.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PL,HHC_22,626.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PL,HHC_31,293.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PL,HHC_32,293.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PL,HHC_41,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PL,HHC_42,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PT,HHC_21,89.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PT,HHC_22,312.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PT,HHC_31,163.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PT,HHC_32,149.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PT,HHC_41,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,PT,HHC_42,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SE,HHC_21,109.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SE,HHC_22,666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SE,HHC_31,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SE,HHC_32,262.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
